key,value,remoteness
_X_XXOOO_,Tie,3
__OOXXOX_,Win,1
___OOX_OX,Win,1
___OOO_XX,Lose,0
____XX_OO,Win,1
__XOOO_X_,Lose,0
____XOOX_,Win,1
_X_XXOO_O,Win,1
_XOXX_O_O,Win,1
__XOO__OX,Win,1
___OOOX_X,Lose,0
____XXO_O,Win,1
__XXOO_O_,Tie,4
___XXOO__,Tie,5
__X_OOXO_,Lose,2
__XOOOX__,Lose,0
__O_X_OX_,Win,1
____O__OX,Tie,6
_X_XOX_OO,Lose,2
_X_X_XOOO,Lose,0
_O_O_O_XX,Win,1
___X_O_XO,Win,2
_X_XOXO_O,Lose,2
__XOXO_O_,Win,1
____OXOX_,Tie,5
_O_O_OX_X,Win,1
__OX___XO,Lose,4
__OO_X_X_,Tie,5
__O__XOX_,Win,2
_____OXO_,Win,5
__OX_X__O,Win,1
___X_X_OO,Win,1
___XOX__O,Lose,4
__OX_X_O_,Win,1
___X_XO_O,Win,1
__OX_XO__,Win,1
___O_O__X,Win,2
_______XO,Tie,7
_O_XOX_O_,Lose,0
___OXO_X_,Win,1
_X_XXO_OO,Lose,2
__XOOX_O_,Win,1
____XXOO_,Win,1
_O_OOX_X_,Win,3
___XXO_O_,Win,3
__OXX__O_,Win,1
____OO_X_,Lose,4
_O_OXO_X_,Win,3
___XOO_X_,Win,3
__OX_O_X_,Win,5
_X_X_O_O_,Win,3
___O_X_O_,Tie,6
___XOX_O_,Lose,4
_X_O_O_X_,Win,1
___O_O_X_,Win,2
_____X_O_,Win,5
__OXO__X_,Win,3
____XO_O_,Tie,6
___OXO___,Win,5
____O__X_,Tie,7
___XXO__O,Tie,5
__OXX___O,Win,1
____OOX__,Tie,6
__XO___O_,Win,5
_____XO__,Win,4
___OOX___,Tie,6
___X_O___,Tie,7
_______O_,Tie,8
____X___O,Tie,7
____X__O_,Win,4
____O____,Tie,8
_________,Tie,9
